from,to
89,96
87,96
88,96
100,96
78,96
120,96
92,96
90,96
20,96
65,96
68,96
68,96
24,96
77,96
134,96
77,96
156,96
111,96
117,96
136,96
135,96
95,96
98,96
137,96
211,211
97,211
1,211
75,10
34,10
52,10
98,10
20,10
188,10
53,10
52,186
34,186
75,186
53,11
64,11
2,11
1,11
208,11
25,11
20,11
1,150
218,150
151,150
97,150
150,150
150,150
150,150
150,150
150,150
150,150
150,150
80,137
59,137
108,137
78,137
96,137
75,137
52,137
34,137
33,137
72,137
34,187
70,187
20,187
52,199
114,138
168,138
124,138
90,138
59,138
33,138
141,58
59,58
89,58
78,58
115,58
43,58
41,58
142,58
40,58
100,58
88,58
87,58
86,58
75,58
103,58
18,58
132,58
113,58
84,58
85,58
57,58
63,58
94,58
64,58
147,58
106,58
60,58
77,58
0,58
96,58
98,58
95,58
54,58
5,58
112,58
80,58
62,58
1,58
8,58
61,58
70,58
55,58
82,58
104,58
28,58
24,58
27,58
68,58
68,58
20,58
65,58
90,58
19,58
92,58
33,58
33,58
52,58
34,58
34,58
35,58
72,58
79,58
52,133
52,133
33,133
72,133
96,133
80,133
86,133
75,133
219,133
106,133
72,179
67,219
52,183
34,183
20,183
89,18
50,18
59,18
78,18
40,18
53,18
88,18
82,18
3,18
54,18
80,18
61,18
70,18
188,18
106,18
94,18
75,18
86,18
58,18
85,18
24,18
68,18
65,18
20,18
77,18
96,18
95,18
33,18
72,18
34,18
34,18
52,18
70,84
1,84
61,84
54,84
54,84
80,84
62,84
104,84
82,84
77,84
117,84
95,84
98,84
96,84
97,84
155,84
103,84
75,84
176,84
102,84
86,84
116,84
58,84
113,84
85,84
101,84
33,84
33,84
72,84
79,84
34,84
52,84
52,84
34,84
88,84
41,84
87,84
78,84
59,84
89,84
50,84
94,84
93,84
106,84
69,84
68,84
24,84
20,84
19,84
90,84
65,84
0,217
54,180
95,180
72,180
33,180
220,231
187,184
34,184
34,184
20,184
182,184
94,110
89,110
78,110
160,110
54,110
34,110
52,110
72,110
79,110
85,110
130,110
75,110
98,110
96,110
95,110
77,110
156,110
77,110
95,113
97,113
0,113
60,113
77,113
68,113
24,113
28,113
65,113
19,113
90,113
20,113
57,113
85,113
86,113
75,113
84,113
58,113
33,113
72,113
35,113
34,113
52,113
61,113
1,113
62,113
56,113
55,113
142,113
41,113
115,113
78,113
59,113
89,113
64,113
94,113
63,113
63,132
64,132
33,132
72,132
52,132
34,132
20,132
65,132
78,132
59,132
60,132
0,132
61,132
1,132
62,132
56,132
55,132
86,132
57,132
85,132
58,132
20,241
104,86
82,86
55,86
70,86
221,86
61,86
1,86
6,86
80,86
54,86
56,86
3,86
57,86
85,86
132,86
58,86
18,86
133,86
113,86
84,86
15,86
14,86
13,86
75,86
103,86
33,86
33,86
72,86
52,86
52,86
35,86
34,86
34,86
222,86
29,86
223,86
63,86
93,86
94,86
106,86
64,86
147,86
0,86
134,86
77,86
77,86
117,86
60,86
95,86
96,86
185,86
98,86
40,86
41,86
88,86
87,86
43,86
59,86
224,86
89,86
50,86
44,86
78,86
65,86
21,86
20,86
22,86
90,86
19,86
92,86
23,86
120,86
121,86
24,86
68,86
28,86
27,86
157,86
68,86
99,86
158,215
20,215
1,212
34,177
72,177
135,177
54,177
127,127
128,127
178,127
166,127
70,127
106,127
59,127
51,127
33,127
77,127
98,127
95,127
53,16
1,16
52,198
85,198
98,103
95,103
77,103
33,103
33,103
34,103
52,103
72,103
59,103
88,103
78,103
80,103
54,103
61,103
90,103
93,103
58,103
84,103
75,103
86,103
85,116
84,116
75,116
94,116
24,116
52,116
34,116
77,116
96,116
78,116
89,116
72,114
33,114
75,114
59,114
78,114
95,114
77,114
96,176
98,176
136,176
77,176
52,176
72,176
75,176
85,176
3,75
196,75
124,75
80,75
54,75
54,75
82,75
104,75
61,75
70,75
6,75
188,75
83,75
1,75
71,75
29,75
63,75
93,75
94,75
118,75
69,75
147,75
64,75
163,75
106,75
33,75
33,75
72,75
79,75
52,75
52,75
34,75
34,75
68,75
68,75
99,75
28,75
27,75
24,75
172,75
23,75
92,75
120,75
91,75
19,75
90,75
65,75
20,75
148,75
13,75
225,75
103,75
14,75
114,75
102,75
131,75
86,75
176,75
128,75
116,75
15,75
178,75
130,75
110,75
84,75
58,75
133,75
18,75
113,75
101,75
85,75
78,75
115,75
160,75
59,75
89,75
50,75
88,75
43,75
162,75
107,75
87,75
40,75
100,75
109,75
41,75
95,75
96,75
98,75
155,75
117,75
136,75
77,75
111,75
0,75
156,75
77,75
135,75
226,75
10,75
186,75
137,75
94,225
75,225
18,14
75,14
86,14
0,14
134,14
78,14
53,14
40,14
59,14
62,14
80,14
9,14
6,14
61,14
70,14
72,14
34,14
52,14
34,14
24,14
68,14
20,14
23,14
106,14
36,230
20,230
86,13
75,13
104,13
80,13
53,13
68,13
72,13
34,13
52,13
227,228
59,12
53,12
51,15
59,15
72,15
34,15
52,15
99,15
64,15
86,15
75,15
117,15
77,15
85,130
75,130
95,130
96,130
117,130
77,130
156,130
